%Time	%Bend 1	%Bend 2	%Bend 3	%Bend 4	%Bend 5	%Bend 6	%Bend 7	%Bend 8	%Bend 9	%Bend 10	%Bend 11	
88.9101	-33.4146	-22.6199	5.7824	27.6939	34.1436	24.5277	-0.62006	-21.8251	-26.785	-5.8975	14.309	
88.9654	-28.5409	-21.1651	0	23.54	37.1847	25.56	2.1476	-19.1384	-27.4835	-8.5057	8.6704	
89.0211	-30.0686	-22.5261	0	18.9046	39.1304	28.2497	2.1476	-15.6128	-27.99	-11.5249	8.5057	
89.077	-32.5793	-19.0891	-9.4623	18.9046	37.4054	30.0686	5.149	-10.9898	-26.9541	-16.5637	3.4539	
89.1326	-33.7793	-24.014	-7.3147	12.9764	35.7456	32.0054	11.3099	-11.3099	-23.9625	-21.8926	2.167	
89.1872	-30.8689	-28.3008	-11.3099	13.1575	29.7599	38.7387	12.0592	-5.9758	-26.2351	-24.4845	0.077374	
89.2434	-28.881	-31.6075	-9.7824	9.7824	28.3008	38.5007	13.4162	-1.5275	-25.56	-24.0755	-7.9872	
89.299	-29.1738	-30.8811	-13.5965	6.2061	29.2863	35.9893	18.5183	0.62006	-24.5277	-22.0942	-14.5488	
89.4784	-17.8233	-39.8389	-28.6882	-13.1222	3.7806	23.4679	38.7387	25.7014	-3.2562	-21.8014	-22.8053	
89.5348	-17.4885	-43.3477	-29.2753	-13.1222	-0.3786	20.8376	40.8529	26.6211	0	-20.7061	-22.4702	
89.589	-5.5275	-48.0032	-25.1593	-17.2161	0.3786	16.8375	41.8202	27.0875	2.1878	-14.5717	-25.4362	
89.6454	-0.18112	-43.9122	-30.9638	-15.124	-3.7806	17.3771	37.9439	30.9638	5.4038	-13.7477	-23.1714	
89.7004	5.3594	-37.5847	-35.5089	-16.9064	-7.1874	16.757	34.679	36.4164	5.7824	-15.51	-20.7827	
89.7569	16.6797	-25.4362	-39.3824	-19.6538	-9.7824	11.63	35.0223	37.1847	10.4179	-8.0429	-23.4924	
89.8105	3.9019	-24.0129	-36.2262	-20.3187	-11.63	11.63	32.3681	38.5428	11.7139	-8.0429	-23.097	
89.8674	5.3905	-18.5183	-35.9893	-21.8959	-12.9764	9.1623	30.9638	39.3824	14.1263	-8.0429	-17.9064	
89.9228	16.0049	-12.3839	-36.2262	-26.08	-13.1222	5.747	27.5576	39.5149	19.2476	-5.7824	-17.4577	
89.9776	18.2016	-10.8564	-31.3644	-27.3069	-18.9448	6.2061	25.7427	36.8699	25.4362	-3.6348	-15.6834	
90.034	23.1039	-3.671	-33.1989	-30.3973	-15.0685	0.3786	22.769	41.151	24.0129	0	-10.8403	
90.0895	10.7095	1.2961	-26.452	-34.0321	-17.3845	-1.7135	16.8375	39.1304	30.3973	3.6348	-8.2719	
90.1458	14.0362	2.4124	-22.3182	-34.4949	-17.793	-3.6799	13.1222	40.0079	34.8028	2.0671	-11.998	
90.2004	20.1517	3.7084	-20.5238	-33.8769	-17.8062	-7.3752	11.4337	36.3675	34.1559	8.0429	1.649	
90.2555	24.5093	12.1395	-20.6453	-31.0092	-21.1988	-9.1039	7.3752	37.7121	36.8699	9.7564	3.6212	
